Time,Voltage,Current_L,Current_R,Current_C,Power_R,Power_Total
      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,
      0.00020000,      0.00047968,      0.00479997,      0.00000480,      0.00479517,      0.00000000,      0.11519923,
      0.00040000,      0.00191742,      0.00959974,      0.00001917,      0.00958057,      0.00000004,      0.23039386,
      0.00060000,      0.00431124,      0.01439914,      0.00004311,      0.01435602,      0.00000019,      0.34557930,
      0.00080000,      0.00765915,      0.01919796,      0.00007659,      0.01912136,      0.00000059,      0.46075095,
      0.00100000,      0.01195910,      0.02399601,      0.00011959,      0.02387642,      0.00000143,      0.57590424,
      0.00120000,      0.01720902,      0.02879311,      0.00017209,      0.02862102,      0.00000296,      0.69103462,
      0.00140000,      0.02340680,      0.03358906,      0.00023407,      0.03335500,      0.00000548,      0.80613752,
      0.00160000,      0.03055030,      0.03838368,      0.00030550,      0.03807818,      0.00000933,      0.92120840,
      0.00180000,      0.03863734,      0.04317678,      0.00038637,      0.04279041,      0.00001493,      1.03624273,
      0.00200000,      0.04766572,      0.04796817,      0.00047666,      0.04749151,      0.00002272,      1.15123598,
      0.00220000,      0.05763320,      0.05275765,      0.00057633,      0.05218132,      0.00003322,      1.26618364,
      0.00240000,      0.06853749,      0.05754505,      0.00068537,      0.05685968,      0.00004697,      1.38108120,
      0.00260000,      0.08037629,      0.06233017,      0.00080376,      0.06152641,      0.00006460,      1.49592418,
      0.00280000,      0.09314727,      0.06711284,      0.00093147,      0.06618136,      0.00008676,      1.61070810,
      0.00300000,      0.10684804,      0.07189285,      0.00106848,      0.07082437,      0.00011417,      1.72542848,
      0.00320000,      0.12147621,      0.07667004,      0.00121476,      0.07545527,      0.00014756,      1.84008087,
      0.00340000,      0.13702933,      0.08144420,      0.00137029,      0.08007391,      0.00018777,      1.95466083,
      0.00360000,      0.15350494,      0.08621516,      0.00153505,      0.08468011,      0.00023564,      2.06916391,
      0.00380000,      0.17090054,      0.09098274,      0.00170901,      0.08927373,      0.00029207,      2.18358571,
      0.00400000,      0.18921359,      0.09574674,      0.00189214,      0.09385461,      0.00035802,      2.29792180,
      0.00420000,      0.20844152,      0.10050699,      0.00208442,      0.09842258,      0.00043448,      2.41216779,
      0.00440000,      0.22858175,      0.10526330,      0.00228582,      0.10297749,      0.00052250,      2.52631930,
      0.00460000,      0.24963163,      0.11001550,      0.00249632,      0.10751918,      0.00062316,      2.64037195,
      0.00480000,      0.27158853,      0.11476339,      0.00271589,      0.11204751,      0.00073760,      2.75432139,
      0.00500000,      0.29444974,      0.11950680,      0.00294450,      0.11656231,      0.00086701,      2.86816326,
      0.00520000,      0.31821254,      0.12424555,      0.00318213,      0.12106343,      0.00101259,      2.98189323,
      0.00540000,      0.34287418,      0.12897946,      0.00342874,      0.12555072,      0.00117563,      3.09550698,
      0.00560000,      0.36843189,      0.13370834,      0.00368432,      0.13002402,      0.00135742,      3.20900020,
      0.00580000,      0.39488285,      0.13843203,      0.00394883,      0.13448320,      0.00155932,      3.32236860,
      0.00600000,      0.42222422,      0.14315033,      0.00422224,      0.13892809,      0.00178273,      3.43560790,
      0.00620000,      0.45045312,      0.14786308,      0.00450453,      0.14335855,      0.00202908,      3.54871383,
      0.00640000,      0.47956666,      0.15257009,      0.00479567,      0.14777442,      0.00229984,      3.66168214,
      0.00660000,      0.50956191,      0.15727119,      0.00509562,      0.15217557,      0.00259653,      3.77450858,
      0.00680000,      0.54043590,      0.16196621,      0.00540436,      0.15656185,      0.00292071,      3.88718894,
      0.00700000,      0.57218565,      0.16665496,      0.00572186,      0.16093310,      0.00327396,      3.99971899,
      0.00720000,      0.60480813,      0.17133727,      0.00604808,      0.16528919,      0.00365793,      4.11209456,
      0.00740000,      0.63830030,      0.17601298,      0.00638300,      0.16962997,      0.00407427,      4.22431144,
      0.00760000,      0.67265909,      0.18068190,      0.00672659,      0.17395530,      0.00452470,      4.33636549,
      0.00780000,      0.70788139,      0.18534386,      0.00707881,      0.17826504,      0.00501096,      4.44825254,
      0.00800000,      0.74396406,      0.18999869,      0.00743964,      0.18255904,      0.00553483,      4.55996845,
      0.00820000,      0.78090395,      0.19464621,      0.00780904,      0.18683717,      0.00609811,      4.67150911,
      0.00840000,      0.81869786,      0.19928627,      0.00818698,      0.19109929,      0.00670266,      4.78287040,
      0.00860000,      0.85734258,      0.20391868,      0.00857343,      0.19534525,      0.00735036,      4.89404825,
      0.00880000,      0.89683488,      0.20854327,      0.00896835,      0.19957492,      0.00804313,      5.00503856,
      0.00900000,      0.93717146,      0.21315989,      0.00937171,      0.20378817,      0.00878290,      5.11583728,
      0.00920000,      0.97834904,      0.21776835,      0.00978349,      0.20798486,      0.00957167,      5.22644037,
      0.00940000,      1.02036429,      0.22236849,      0.01020364,      0.21216485,      0.01041143,      5.33684379,
      0.00960000,      1.06321386,      0.22696015,      0.01063214,      0.21632801,      0.01130424,      5.44704354,
      0.00980000,      1.10689436,      0.23154315,      0.01106894,      0.22047421,      0.01225215,      5.55703561,
      0.01000000,      1.15140240,      0.23611733,      0.01151402,      0.22460331,      0.01325727,      5.66681603,
      0.01020000,      1.19673454,      0.24068253,      0.01196735,      0.22871519,      0.01432174,      5.77638083,
      0.01040000,      1.24288732,      0.24523859,      0.01242887,      0.23280971,      0.01544769,      5.88572606,
      0.01060000,      1.28985726,      0.24978533,      0.01289857,      0.23688675,      0.01663732,      5.99484780,
      0.01080000,      1.33764085,      0.25432259,      0.01337641,      0.24094618,      0.01789283,      6.10374213,
      0.01100000,      1.38623455,      0.25885021,      0.01386235,      0.24498787,      0.01921646,      6.21240515,
      0.01120000,      1.43563480,      0.26336804,      0.01435635,      0.24901169,      0.02061047,      6.32083299,
      0.01140000,      1.48583802,      0.26787591,      0.01485838,      0.25301753,      0.02207715,      6.42902177,
      0.01160000,      1.53684060,      0.27237365,      0.01536841,      0.25700525,      0.02361879,      6.53696766,
      0.01180000,      1.58863891,      0.27686112,      0.01588639,      0.26097473,      0.02523774,      6.64466683,
      0.01200000,      1.64122927,      0.28133814,      0.01641229,      0.26492585,      0.02693634,      6.75211546,
      0.01220000,      1.69460802,      0.28580457,      0.01694608,      0.26885849,      0.02871696,      6.85930977,
      0.01240000,      1.74877143,      0.29026025,      0.01748771,      0.27277253,      0.03058202,      6.96624597,
      0.01260000,      1.80371578,      0.29470501,      0.01803716,      0.27666786,      0.03253391,      7.07292031,
      0.01280000,      1.85943732,      0.29913871,      0.01859437,      0.28054434,      0.03457507,      7.17932906,
