Time,Voltage,Current_L,Current_R,Current_C,Power_R,Power_Source,Power_L,Power_C,Energy_L,Energy_C
  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,
  1.00000005E-03,  1.19591050E-02,  2.39960113E-02,  1.19591050E-04,  2.38764203E-02,  1.43020191E-06,  5.75904272E-01,  2.86970818E-04,  2.85540616E-04,  2.87904280E-04,  7.15100957E-08,
  2.00000009E-03,  4.76657276E-02,  4.79681680E-02,  4.76657276E-04,  4.74915107E-02,  2.27202159E-05,  1.15123603E+00,  2.28643763E-03,  2.26371741E-03,  1.15047257E-03,  1.13601079E-06,
  3.00000014E-03,  1.06848050E-01,  7.18928567E-02,  1.06848050E-03,  7.08243762E-02,  1.14165059E-04,  1.72542856E+00,  7.68161158E-03,  7.56744652E-03,  2.58429142E-03,  5.70825294E-06,
  4.00000019E-03,  1.89213604E-01,  9.57467462E-02,  1.89213604E-03,  9.38546102E-02,  3.58017879E-04,  2.29792191E+00,  1.81165869E-02,  1.77585690E-02,  4.58371970E-03,  1.79008940E-05,
  5.00000024E-03,  2.94449763E-01,  1.19506808E-01,  2.94449763E-03,  1.16562310E-01,  8.67006627E-04,  2.86816339E+00,  3.51887512E-02,  3.43217446E-02,  7.14093858E-03,  4.33503314E-05,
  6.00000028E-03,  4.22224257E-01,  1.43150336E-01,  4.22224257E-03,  1.38928093E-01,  1.78273324E-03,  3.43560806E+00,  6.04415443E-02,  5.86588110E-02,  1.02460093E-02,  8.91366618E-05,
  7.00000033E-03,  5.72185701E-01,  1.66654966E-01,  5.72185701E-03,  1.60933109E-01,  3.27396476E-03,  3.99971918E+00,  9.53575884E-02,  9.20836236E-02,  1.38869388E-02,  1.63698238E-04,
  8.00000038E-03,  7.43964127E-01,  1.89998694E-01,  7.43964127E-03,  1.82559053E-01,  5.53482622E-03,  4.55996866E+00,  1.41352213E-01,  1.35817386E-01,  1.80497519E-02,  2.76741311E-04,
  9.00000043E-03,  9.37171546E-01,  2.13159897E-01,  9.37171546E-03,  2.03788181E-01,  8.78290506E-03,  5.11583752E+00,  1.99767390E-01,  1.90984485E-01,  2.27185708E-02,  4.39145253E-04,
  1.00000005E-02,  1.15140251E+00,  2.36117345E-01,  1.15140251E-02,  2.24603320E-01,  1.32572773E-02,  5.66681629E+00,  2.71866103E-01,  2.58608826E-01,  2.78757004E-02,  6.62863865E-04,
  1.10000005E-02,  1.38623467E+00,  2.58850227E-01,  1.38623467E-02,  2.44987880E-01,  1.92164657E-02,  6.21240544E+00,  3.58827159E-01,  3.39610694E-01,  3.35017199E-02,  9.60823286E-04,
  1.20000006E-02,  1.64122942E+00,  2.81338157E-01,  1.64122942E-02,  2.64925863E-01,  2.69363402E-02,  6.75211577E+00,  4.61740461E-01,  4.34804121E-01,  3.95755793E-02,  1.34681701E-03,
  1.30000006E-02,  1.91593243E+00,  3.03561200E-01,  1.91593243E-02,  2.84401876E-01,  3.67079707E-02,  7.28546880E+00,  5.81602747E-01,  5.44894777E-01,  4.60747011E-02,  1.83539853E-03,
  1.40000007E-02,  2.20987428E+00,  3.25499881E-01,  2.20987428E-02,  3.03401138E-01,  4.88354433E-02,  7.81199715E+00,  7.19313815E-01,  6.70478372E-01,  5.29750863E-02,  2.44177216E-03,
