        2-nd order single ODE 
     Method: Runge-Kutta 4th order
    t       x(t)        v(t)        energy
   0.00000  -2.50000   6.00000  21.12500
   0.01000  -2.43988   6.02470  21.12500
   0.02000  -2.37951   6.04880  21.12500
   0.03000  -2.31890   6.07229  21.12500
   0.04000  -2.25806   6.09517  21.12500
   0.05000  -2.19700   6.11745  21.12500
   0.06000  -2.13572   6.13911  21.12500
   0.07000  -2.07422   6.16016  21.12500
   0.08000  -2.01252   6.18060  21.12500
   0.09000  -1.95061   6.20041  21.12500
   0.10000  -1.88851   6.21961  21.12500
   0.11000  -1.82622   6.23818  21.12500
   0.12000  -1.76375   6.25613  21.12500
   0.13000  -1.70110   6.27346  21.12500
   0.14000  -1.63828   6.29015  21.12500
   0.15000  -1.57530   6.30622  21.12500
   0.16000  -1.51216   6.32166  21.12500
   0.17000  -1.44887   6.33646  21.12500
   0.18000  -1.38543   6.35064  21.12500
   0.19000  -1.32186   6.36417  21.12500
   0.20000  -1.25815   6.37707  21.12500
   0.21000  -1.19432   6.38934  21.12500
   0.22000  -1.13037   6.40096  21.12500
   0.23000  -1.06630   6.41194  21.12500
   0.24000  -1.00213   6.42228  21.12500
   0.25000  -0.93786   6.43198  21.12500
   0.26000  -0.87349   6.44104  21.12500
   0.27000  -0.80904   6.44945  21.12500
   0.28000  -0.74450   6.45722  21.12500
   0.29000  -0.67990   6.46434  21.12500
   0.30000  -0.61522   6.47082  21.12500
   0.31000  -0.55048   6.47665  21.12500
   0.32000  -0.48569   6.48183  21.12500
   0.33000  -0.42085   6.48636  21.12500
   0.34000  -0.35596   6.49025  21.12500
   0.35000  -0.29104   6.49348  21.12500
   0.36000  -0.22610   6.49607  21.12500
   0.37000  -0.16113   6.49800  21.12500
   0.38000  -0.09614   6.49929  21.12500
   0.39000  -0.03114   6.49993  21.12500
   0.40000   0.03386   6.49991  21.12500
   0.41000   0.09885   6.49925  21.12500
   0.42000   0.16384   6.49793  21.12500
   0.43000   0.22881   6.49597  21.12500
   0.44000   0.29376   6.49336  21.12500
   0.45000   0.35868   6.49010  21.12500
   0.46000   0.42356   6.48619  21.12500
   0.47000   0.48840   6.48163  21.12500
   0.48000   0.55319   6.47642  21.12500
   0.49000   0.61792   6.47056  21.12500
   0.50000   0.68260   6.46406  21.12500
   0.51000   0.74720   6.45691  21.12500
   0.52000   0.81173   6.44912  21.12500
   0.53000   0.87618   6.44068  21.12500
   0.54000   0.94054   6.43159  21.12500
   0.55000   1.00481   6.42187  21.12500
   0.56000   1.06898   6.41150  21.12500
   0.57000   1.13304   6.40049  21.12500
   0.58000   1.19699   6.38884  21.12500
   0.59000   1.26081   6.37655  21.12500
   0.60000   1.32452   6.36362  21.12500
   0.61000   1.38808   6.35006  21.12500
   0.62000   1.45151   6.33586  21.12500
   0.63000   1.51480   6.32103  21.12500
   0.64000   1.57793   6.30556  21.12500
   0.65000   1.64091   6.28947  21.12500
   0.66000   1.70372   6.27275  21.12500
   0.67000   1.76636   6.25539  21.12500
   0.68000   1.82883   6.23742  21.12500
   0.69000   1.89111   6.21882  21.12500
   0.70000   1.95320   6.19960  21.12500
   0.71000   2.01510   6.17976  21.12500
   0.72000   2.07679   6.15930  21.12500
   0.73000   2.13828   6.13822  21.12500
   0.74000   2.19956   6.11653  21.12500
   0.75000   2.26061   6.09423  21.12500
   0.76000   2.32144   6.07132  21.12500
   0.77000   2.38203   6.04780  21.12500
   0.78000   2.44239   6.02368  21.12500
   0.79000   2.50251   5.99896  21.12500
   0.80000   2.56237   5.97363  21.12500
   0.81000   2.62198   5.94771  21.12500
   0.82000   2.68132   5.92119  21.12500
