     x           y           dy
  0.0000E+00  0.0000E+00  4.6621-310
  2.0000E-01  9.3248-311  4.6640-310
  4.0000E-01  1.8672-310  4.6920-310
  6.0000E-01  2.8154-310  4.8137-310
  8.0000E-01  3.8064-310  5.1445-310
  1.0000E+00  4.8984-310  5.8571-310
  1.2000E+00  6.1913-310  7.2069-310
  1.4000E+00  7.8489-310  9.5855-310
  1.6000E+00  1.0135-309  1.3631-309
  1.8000E+00  1.3482-309  2.0437-309
  2.0000E+00  1.8619-309  3.1964-309
  2.2000E+00  2.6813-309  5.1838-309
  2.4000E+00  4.0348-309  8.6978-309
  2.6000E+00  6.3477-309  1.5096-308
  2.8000E+00  1.0437-308  2.7119-308
  3.0000E+00  1.7927-308  5.0472-308
  3.2000E+00  3.2145-308  9.7394-308
  3.4000E+00  6.0138-308  1.9498-307
  3.6000E+00  1.1734-307  4.0516-307
  3.8000E+00  2.3872-307  8.7416-307
  4.0000E+00  5.0616-307  1.9589-306
